dist_to_known	known_eex	len_cv	len_median	machine_contaminated	mean_pid	mpf_class	n_defined	n_known	n_occupants	occupancy_pct	pct_short100	rank	slot	subGA_machine_pct	z_len_cv	z_mean_pid	z_occupancy
0.316		0.342	154.0	0	16.9	MPF_F	75	0	92	94.7	8.7	1	T4SS_F_traF|T4SS_F_trbC	13.0	-0.64	-0.59	0.84
0.508		0.501	133	0	20.9	MPF_F	271	0	481	95.6	40.5	2	T4SS_F_traL|T4SS_G_tfc7	0.0	-0.21	-0.19	0.86
0.524		0.416	173	0	15.7	MPF_F	32	0	29	75.0	10.3	3	T4SS_F_traB|T4SS_F_traE	20.7	-0.44	-0.71	0.3
0.553		0.451	160	0	16.3	MPF_F	10511	0	16329	73.6	26.9	4	T4SS_F_traB|T4SS_F_traV	2.6	-0.34	-0.65	0.26
0.62	TraS_R100	0.262	229	0	19.1	MPF_F	6236	2489	15763	99.0	4.7	5	T4SS_F_traG|T4SS_t4cp1	0.1	-0.85	-0.37	0.95
0.62	EexR/S	0.644	117.0	0	12.8	MPF_F	44	4	82	88.6	45.1	6	T4SS_F_traG|T4SS_T_virB1	0.0	0.18	-0.99	0.67
0.785		0.712	211.0	0	12.8	MPF_F	63	0	140	100.0	0.0	7	T4SS_F_traL|T4SS_t4cp1	0.0	0.36	-0.99	0.98
0.821		0.473	122	1	16.6	MPF_F	61	0	91	63.9	20.9	8	T4SS_F_traW|T4SS_F_trbC	74.7	-0.28	-0.62	-0.01
0.9		0.212	176.0	0	22.0	MPF_F	144	0	422	100.0	0.5	9	T4SS_F_traN|T4SS_T_virB1	0.0	-0.99	-0.08	0.98
0.904		0.384	127	0	24.8	MPF_F	2683	0	7313	98.9	4.1	10	T4SS_F_traL|T4SS_T_virB1	0.0	-0.52	0.19	0.95
1.04		0.514	82.0	0	26.3	MPF_F	30	0	62	90.0	53.2	11	T4SS_F_traV|T4SS_t4cp1	29.0	-0.17	0.34	0.71
1.324		0.131	672	0	25.9	MPF_F	46	0	47	100.0	0.0	12	T4SS_F_traN|T4SS_virb4	0.0	-1.21	0.3	0.98
1.329		0.169	181.0	0	26.9	MPF_F	1268	0	1174	90.8	1.6	13	T4SS_G_tfc7|T4SS_t4cp1	0.0	-1.11	0.4	0.73
