family	own_class	kind	n_hits	n_elem	f_own	f_other	f_none	occupancy	pos_entropy	mean_pid	div_ratio	med_offset
TrbK	MPF_T	EEx	248	224	93.14516129032258	0.0	6.854838709677419	2.9182356105433027	1.62637460760344	35.849404989665956	2.6413649405704787	6
TraS_R100	MPF_F	EEx	2820	2794	94.29078014184397	0.14184397163120568	5.567375886524823	25.098920863309353	3.7121398469467297	53.25484727058341	2.9560901223430784	12
ExcA	MPF_I	EEx	3335	3305	98.44077961019491	0.9895052473763118	0.5697151424287856	88.26366559485531	2.2516358083802195	23.390875579634887	0.7650979335609684	-4.0
DUF4467	MPF_FA	EEx	12	10	83.33333333333333	0.0	16.666666666666668	2.0202020202020203	1.7709505944546688	37.38601644001831	2.430236723231887	1.0
Eex_IncN	MPF_T	EEx	5037	4674	96.605122096486	0.0	3.394877903513996	62.61430876815492	3.0335533454658274	18.507723686494078	1.3636391591258816	2.0
EexR/S	MPF_F	EEx	4	4	0.0	0.0	100.0	0.03597122302158273	0.0	99.3006993006993	5.51202062139238	nan
traN	MPF_F	missed	11258	10709	92.21886658376266	0.08882572392965003	7.6923076923076925	96.19604316546763	3.9945821367805	16.82348428334128	0.9338443026734525	5.0
traK	MPF_F	missed	11199	10917	95.65139744620055	0.06250558085543352	4.286096972944013	97.88669064748201	4.068953656740674	22.920988299109734	1.272306852389876	-5
traG	MPF_F	missed	9403	8783	82.20780601935553	0.07444432627884717	17.71774965436563	78.58812949640287	4.145589687259211	36.93490927311703	2.050196856581895	8
T_virB1	MPF_T	machine	9364	8423	58.97052541648868	10.561725758222982	30.46774882528834	73.03657880580957	4.028118508231294	16.397631754148783	1.2081687167828605	-2
T_virB10	MPF_T	machine	7690	7225	88.94668400520156	0.03901170351105332	11.014304291287386	93.03388918773534	3.3070099783769815	13.800759317063333	1.0168325478163573	-4
T_virB11	MPF_T	machine	13941	10304	56.315902732945986	19.63991105372642	24.044186213327595	95.52178590640129	4.405588859644127	12.488152524627763	0.9201203830456056	3
T_virB2	MPF_T	machine	5957	5582	93.01661910357562	0.3861003861003861	6.597280510323989	74.73103819257665	2.1996858399723607	20.927239416068833	1.5419077809649275	1.0
T_virB3	MPF_T	machine	7329	6932	94.31027425296766	0.0	5.6897257470323375	93.14147391070468	1.7666984497832807	20.991356795975708	1.5466319151427772	0.0
T_virB5	MPF_T	machine	3275	3172	95.45038167938931	0.061068702290076333	4.488549618320611	42.38838084991931	2.2970152481718777	13.53598800576986	0.9973243395456469	-1.0
T_virB6	MPF_T	machine	7734	7209	92.6040858546677	1.2283423842772174	6.167571761055082	95.36040882194729	3.410752730280095	13.93984636799097	1.0270804071633537	2
T_virB8	MPF_T	machine	7738	7272	91.31558542258982	0.025846471956577927	8.658568105453606	95.21247982786444	3.259414426511161	12.28009920887143	0.9047911262792344	-2.0
T_virB9	MPF_T	machine	7937	7371	89.71903741967998	0.07559531309058838	10.205367267229432	95.18558364712212	3.32981435764202	15.010375524323235	1.1059564214851993	-3
t4cp1	MPF_T	machine	20859	19952	25.78742988637998	47.399204180449686	26.813365933170335	86.92845615922539	4.885487993031219	13.940473602208984	1.0271266214442731	-7.0
t4cp2	MPF_T	machine	22703	21477	25.802757344844295	44.93238779015989	29.264854864995815	97.14900484131253	4.952950009155599	13.059515819734893	0.9622181243180155	-6
F_traB	MPF_F	machine	11265	10973	95.62361296049711	0.1509098979138926	4.225477141588993	98.27338129496403	4.153335951704992	27.9241518161907	1.550024337488736	-3
F_traE	MPF_F	machine	11370	10953	93.99296394019349	0.08795074758135445	5.919085312225154	97.94964028776978	4.073921917781672	41.77704869210051	2.3189761553889667	-5
F_traF	MPF_F	machine	18025	10819	80.0610263522885	1.4701803051317615	18.46879334257975	94.61330935251799	4.117295370237966	21.393631662534055	1.187525764881801	-4.0
F_traG	MPF_F	machine	9403	8783	82.20780601935553	0.07444432627884717	17.71774965436563	78.58812949640287	4.145589687259211	33.90012415416914	1.8817408610558124	8
F_traH	MPF_F	machine	12837	10539	74.07493962763886	0.0778998208304121	25.84716055153073	94.46942446043165	4.2293460763578095	20.330339437969297	1.1285041395595121	8
F_traK	MPF_F	machine	11199	10917	95.65139744620055	0.06250558085543352	4.286096972944013	97.88669064748201	4.068953656740674	24.21525480625316	1.3441494851929847	-5
F_traL	MPF_F	machine	9406	9076	93.72740803742292	0.106315118009781	6.166276844567298	81.2410071942446	4.181231828257747	33.81040637240876	1.8767607726309432	-6.0
F_traN	MPF_F	machine	11258	10709	92.21886658376266	0.08882572392965003	7.6923076923076925	96.19604316546763	3.9945821367805	18.295841243022036	1.0155724473991539	5.0
F_traU	MPF_F	machine	11158	10821	94.49722172432335	0.06273525721455459	5.44004301846209	97.23021582733813	3.518674599782446	26.025480399287797	1.4446321692873243	3
F_traV	MPF_F	machine	11096	10876	96.37707281903388	0.09913482335976928	3.523792357606345	97.7068345323741	3.8238755606378656	28.41649621223899	1.5773535756809791	-1
F_traW	MPF_F	machine	11071	10820	94.84238099539337	0.06322825399692891	5.094390750609701	97.26618705035972	2.9244058789833174	27.32477098384746	1.516753680472124	2
F_trbC	MPF_F	machine	10976	10740	94.77951895043732	0.05466472303206997	5.165816326530612	96.51079136690647	4.00329587291586	27.193892968490545	1.5094888542965328	3
G_tfc7	MPF_F	machine	1294	1273	82.14837712519319	1.6228748068006182	16.228748068006183	11.151079136690647	3.6424100109852544	51.37112107449705	2.8515275390883206	-14.0
T_virB1	MPF_F	machine	9364	8423	7.827851345578813	61.704399829132846	30.46774882528834	10.377697841726619	4.028118508231294	13.809041544330764	0.7665174796355056	-2
t4cp1	MPF_F	machine	20859	19952	31.87592885564984	41.31070521117983	26.813365933170335	90.65647482014388	4.885487993031219	13.550435013660005	0.7521626509190685	-7.0
t4cp2	MPF_F	machine	22703	21477	29.480685371977273	41.254459763026915	29.264854864995815	95.11690647482014	4.952950009155599	16.036631902383114	0.8901674043194994	-6
I_traE	MPF_I	machine	1914	1863	85.52769070010449	0.4702194357366771	14.00208986415883	49.437299035369776	2.490035874310388	56.472080270207016	1.847159238290427	18.0
